Date,Close,DMA,DMA25,DMA50,BuyLevel,SellLevel,BuySignal,BuyPrice,SellSignal,SellPrice
2025-11-04,46.99,46.14,46.25,46.14,41.53,50.76,0,,0,
2025-11-06,47.79,46.26,46.31,46.26,41.64,50.89,0,,0,
2025-11-07,46.78,46.36,46.35,46.36,41.72,51.0,0,,0,
2025-11-10,45.87,46.44,46.35,46.44,41.8,51.09,0,,0,
2025-11-11,46.42,46.54,46.38,46.54,41.89,51.2,0,,0,
2025-11-12,46.35,46.64,46.42,46.64,41.98,51.3,0,,0,
2025-11-13,47.39,46.75,46.46,46.75,42.07,51.42,0,,0,
2025-11-14,47.96,46.85,46.54,46.85,42.16,51.53,0,,0,
2025-11-17,49.01,46.97,46.7,46.97,42.27,51.67,0,,0,
2025-11-18,48.42,47.06,46.86,47.06,42.35,51.76,0,,0,
2025-11-19,48.64,47.13,47.01,47.13,42.41,51.84,0,,0,
2025-11-20,49.05,47.16,47.21,47.16,42.45,51.88,0,,0,
2025-11-21,48.42,47.14,47.29,47.14,42.43,51.85,0,,0,
2025-11-24,47.59,47.11,47.34,47.11,42.4,51.82,0,,0,
2025-11-25,46.79,47.06,47.37,47.06,42.35,51.76,0,,0,
2025-11-26,45.98,46.98,47.36,46.98,42.28,51.67,0,,0,
2025-11-27,46.27,46.93,47.34,46.93,42.23,51.62,0,,0,
2025-11-28,45.66,46.85,47.26,46.85,42.17,51.54,0,,0,
2025-12-01,46.66,46.81,47.25,46.81,42.13,51.49,0,,0,
2025-12-02,46.41,46.77,47.25,46.77,42.09,51.45,0,,0,
